day,date,temp
130,05-10,66.3
131,05-11,65.7
132,05-12,65.6
133,05-13,65.3
134,05-14,64.8
135,05-15,64.7
136,05-16,65.3
137,05-17,67.2
138,05-18,66.0
139,05-19,66.6
140,05-20,68.4
141,05-21,67.7
142,05-22,68.8
143,05-23,69.3
144,05-24,68.7
145,05-25,68.8
146,05-26,70.1
147,05-27,69.9
148,05-28,70.7
149,05-29,70.7
150,05-30,71.8
151,05-31,73.1
152,06-01,73.7
153,06-02,73.2
154,06-03,73.0
155,06-04,72.2
156,06-05,72.9
157,06-06,73.0
158,06-07,73.0
159,06-08,73.8
160,06-09,74.0
161,06-10,74.1
162,06-11,74.8
163,06-12,74.9
164,06-13,73.7
165,06-14,74.5
166,06-15,75.1
167,06-16,75.8
168,06-17,75.7
169,06-18,76.4
170,06-19,77.2
171,06-20,77.8
172,06-21,77.9
173,06-22,78.4
174,06-23,77.8
175,06-24,79.1
176,06-25,79.1
177,06-26,79.3
178,06-27,78.9
179,06-28,80.2
180,06-29,80.1
181,06-30,80.2
182,07-01,80.4
183,07-02,81.0
184,07-03,80.4
185,07-04,80.7
186,07-05,80.6
187,07-06,80.5
188,07-07,81.3
189,07-08,82.5
190,07-09,81.7
191,07-10,81.7
192,07-11,81.1
193,07-12,81.0
194,07-13,82.1
195,07-14,82.0
196,07-15,81.7
197,07-16,82.1
198,07-17,82.4
199,07-18,82.9
200,07-19,82.3
201,07-20,81.7
202,07-21,81.2
203,07-22,80.8
204,07-23,80.7
205,07-24,81.3
206,07-25,81.1
207,07-26,81.5
208,07-27,81.4
209,07-28,80.9
210,07-29,80.9
211,07-30,81.1
212,07-31,80.3
213,08-01,80.3
214,08-02,81.0
215,08-03,81.2
216,08-04,81.2
217,08-05,80.5
218,08-06,79.6
219,08-07,80.3
220,08-08,81.0
221,08-09,80.5
222,08-10,81.2
223,08-11,79.8
224,08-12,79.6
225,08-13,79.5
226,08-14,80.3
227,08-15,80.2
228,08-16,79.9
229,08-17,80.4
230,08-18,79.2
231,08-19,77.5
232,08-20,78.3
233,08-21,77.9
234,08-22,78.7
235,08-23,78.0
236,08-24,77.7
237,08-25,77.9
238,08-26,78.1
239,08-27,77.3
240,08-28,77.8
241,08-29,76.9
242,08-30,77.2
243,08-31,78.0
244,09-01,77.4
245,09-02,76.7
246,09-03,76.1
247,09-04,76.2
248,09-05,76.2
249,09-06,75.6
250,09-07,76.0
251,09-08,74.8
252,09-09,74.0
253,09-10,74.1
254,09-11,73.9
255,09-12,73.4
256,09-13,73.5
257,09-14,72.4
258,09-15,71.9
259,09-16,71.3
260,09-17,71.5
261,09-18,71.5
262,09-19,70.2
263,09-20,71.0
264,09-21,70.9
265,09-22,71.0
266,09-23,70.2
267,09-24,69.0
268,09-25,69.4
269,09-26,69.7
270,09-27,69.2
271,09-28,69.0
272,09-29,67.6
273,09-30,67.1
274,10-01,66.3
275,10-02,66.2
276,10-03,66.5
277,10-04,67.0
278,10-05,66.4
279,10-06,65.7
280,10-07,65.6
281,10-08,65.2
282,10-09,64.4
283,10-10,63.2
284,10-11,63.3
285,10-12,63.1
286,10-13,62.9
287,10-14,63.1
288,10-15,63.5
289,10-16,63.8
290,10-17,62.6
291,10-18,61.6
292,10-19,61.6
293,10-20,61.0
294,10-21,60.5
295,10-22,60.9
296,10-23,60.4
297,10-24,59.0
298,10-25,58.4
299,10-26,57.4
300,10-27,58.5
301,10-28,58.0
302,10-29,56.6
303,10-30,56.1
304,10-31,57.1
305,11-01,57.5
306,11-02,57.3
307,11-03,56.4
308,11-04,55.9
309,11-05,55.0
310,11-06,54.4
311,11-07,54.1
312,11-08,53.9
313,11-09,54.0
314,11-10,53.4
315,11-11,51.6
316,11-12,52.1
317,11-13,51.0
318,11-14,50.6
319,11-15,51.2
320,11-16,51.1
321,11-17,50.4
322,11-18,50.1
323,11-19,49.6
324,11-20,49.4
325,11-21,49.0
326,11-22,48.5
327,11-23,48.0
328,11-24,47.3
329,11-25,46.2
330,11-26,47.3
331,11-27,46.9
332,11-28,47.0
333,11-29,46.8
334,11-30,44.9
335,12-01,44.2
336,12-02,43.9
337,12-03,44.1
338,12-04,43.2
339,12-05,42.8
340,12-06,44.0
341,12-07,43.7
342,12-08,41.6
343,12-09,41.9
344,12-10,41.5
345,12-11,40.9
346,12-12,40.8
347,12-13,41.8
348,12-14,40.6
349,12-15,39.6
350,12-16,39.0
351,12-17,39.3
352,12-18,38.6
353,12-19,37.9
354,12-20,38.5
355,12-21,39.4
356,12-22,39.8
357,12-23,40.2
358,12-24,40.1
359,12-25,39.7
360,12-26,37.8
361,12-27,37.3
362,12-28,38.6
363,12-29,38.5
364,12-30,37.7
365,12-31,37.4
