day,date,temp
0,01-01,39.0
1,01-02,38.3
2,01-03,37.6
3,01-04,37.2
4,01-05,37.3
5,01-06,37.6
6,01-07,37.7
7,01-08,36.5
8,01-09,36.3
9,01-10,35.5
10,01-11,35.9
11,01-12,37.1
12,01-13,36.7
13,01-14,35.9
14,01-15,35.3
15,01-16,35.8
16,01-17,35.7
17,01-18,36.3
18,01-19,36.1
19,01-20,36.3
20,01-21,36.5
21,01-22,37.1
22,01-23,37.8
23,01-24,36.6
24,01-25,36.5
25,01-26,36.3
26,01-27,35.6
27,01-28,35.2
28,01-29,34.4
29,01-30,35.5
30,01-31,34.8
31,02-01,35.8
32,02-02,35.5
33,02-03,35.5
34,02-04,35.2
35,02-05,35.0
36,02-06,35.3
37,02-07,36.3
38,02-08,36.4
39,02-09,35.6
40,02-10,36.1
41,02-11,36.3
42,02-12,36.3
43,02-13,36.5
44,02-14,38.0
45,02-15,38.9
46,02-16,38.0
47,02-17,37.9
48,02-18,38.0
49,02-19,39.1
50,02-20,39.9
51,02-21,39.2
52,02-22,40.1
53,02-23,39.7
54,02-24,39.4
55,02-25,39.7
56,02-26,39.1
57,02-27,39.4
58,02-28,39.1
59,02-29,39.1
60,03-01,40.4
61,03-02,41.1
62,03-03,40.4
63,03-04,40.7
64,03-05,41.5
65,03-06,41.6
66,03-07,42.4
67,03-08,42.2
68,03-09,43.1
69,03-10,42.5
70,03-11,43.8
71,03-12,43.9
72,03-13,44.7
73,03-14,44.0
74,03-15,43.7
75,03-16,44.3
76,03-17,43.9
77,03-18,43.9
78,03-19,44.4
79,03-20,46.2
80,03-21,45.7
81,03-22,46.3
82,03-23,47.0
83,03-24,47.9
84,03-25,48.1
85,03-26,50.0
86,03-27,50.1
87,03-28,49.9
88,03-29,50.1
89,03-30,49.5
90,03-31,50.0
91,04-01,50.5
92,04-02,50.2
93,04-03,51.1
94,04-04,50.5
95,04-05,51.9
96,04-06,52.8
97,04-07,52.1
98,04-08,51.5
99,04-09,51.6
100,04-10,53.7
101,04-11,53.2
102,04-12,53.7
103,04-13,54.4
104,04-14,55.4
105,04-15,55.9
106,04-16,55.6
107,04-17,55.9
108,04-18,57.0
109,04-19,58.8
110,04-20,58.4
111,04-21,59.6
112,04-22,59.0
113,04-23,58.8
114,04-24,58.2
115,04-25,58.0
116,04-26,57.8
117,04-27,58.2
118,04-28,58.6
119,04-29,59.5
120,04-30,61.9
121,05-01,62.0
122,05-02,62.1
123,05-03,61.8
124,05-04,63.3
125,05-05,62.4
126,05-06,62.8
127,05-07,64.2
128,05-08,63.3
129,05-09,64.7
